role,age,mainGroup,code,medianPay,percent10,percent20,percent25,percent30,percent40,percent60,percent70,percent75,percent80,percent90
"Caring, leisure and other service occupations",22-29,TRUE,6,8.59,7.49,7.65,7.80,7.96,8.25,9.07,9.63,9.98,10.31,11.89
Caring personal service occupations,22-29,,61,8.56,7.50,7.65,7.80,7.96,8.23,9.02,9.56,9.92,10.26,11.75
"Leisure, travel and related personal service occupations",22-29,,62,8.78,7.48,7.62,7.80,7.99,8.32,9.33,10.00,10.22,10.80,x
Sales and customer service occupations,22-29,TRUE,7,9.29,7.55,7.93,8.11,8.33,8.82,9.87,10.51,10.92,11.52,13.40
Sales occupations,22-29,,71,8.87,7.50,7.75,7.93,8.05,8.36,9.31,9.94,10.22,10.70,12.56
Customer service occupations,22-29,,72,10.02,7.72,8.45,8.73,8.92,9.41,10.55,11.24,11.70,12.31,14.11
"Process, plant and machine operatives",22-29,TRUE,8,8.88,7.50,7.60,7.73,7.96,8.33,9.18,9.87,10.26,11.16,x
"Process, plant and machine operatives",22-29,,81,8.74,7.50,7.60,7.68,7.89,8.20,9.04,9.86,10.22,11.18,x
Transport and mobile machine drivers and operatives,22-29,,82,9.48,x,x,x,x,x,x,x,x,x,x
Elementary occupations,22-29,TRUE,9,8.17,7.47,7.50,7.58,7.66,7.88,8.50,9.00,9.30,9.60,10.58
Elementary trades and related occupations,22-29,,91,8.15,x,x,7.50,7.59,7.79,8.43,8.73,9.14,9.44,x
Elementary administration and service occupations,22-29,,92,8.17,7.44,7.50,7.59,7.68,7.90,8.50,9.03,9.33,9.62,10.64
"Managers, directors and senior officials",30-39,TRUE,1,20.02,9.97,12.27,13.33,14.40,16.98,22.78,27.38,29.61,32.72,39.94
Corporate managers and directors,30-39,,11,21.99,10.74,13.65,15.00,16.36,19.32,25.92,30.09,32.53,35.33,41.67
Other managers and proprietors,30-39,,12,13.34,8.65,9.92,10.41,11.00,12.03,14.59,16.76,17.51,18.40,x
Professional occupations,30-39,TRUE,2,19.51,13.21,15.00,15.86,16.58,18.01,21.10,22.99,24.20,25.63,29.97
"Science, research, engineering and technology professionals",30-39,,21,20.03,13.37,15.33,16.22,16.90,18.34,21.16,22.88,24.01,25.62,28.87
Health professionals,30-39,,22,17.37,12.68,14.17,14.59,15.10,16.25,18.50,20.03,21.14,22.74,27.26
Teaching and educational professionals,30-39,,23,21.74,14.00,16.95,18.00,19.18,20.20,23.11,24.62,25.53,26.40,29.31
"Business, media and public service professionals",30-39,,24,19.51,13.24,15.23,16.07,16.75,17.93,21.08,23.24,25.30,26.54,34.91
Associate professional and technical occupations,30-39,TRUE,3,15.81,10.58,12.07,12.68,13.35,14.54,17.25,18.91,19.69,20.91,25.60
"Science, engineering and technology associate professionals",30-39,,31,13.89,9.24,10.24,10.80,11.59,12.52,14.93,15.68,16.32,17.30,x
Health and social care associate professionals,30-39,,32,12.93,9.76,10.61,10.89,11.35,11.82,13.51,14.50,14.98,15.47,x
Protective service occupations,30-39,,33,18.21,12.96,14.02,14.87,15.43,16.90,18.45,18.93,19.19,19.50,x
"Culture, media and sports occupations",30-39,,34,14.42,9.78,11.59,12.25,12.67,13.24,15.78,16.63,16.95,17.55,x
Business and public service associate professionals,30-39,,35,16.70,11.12,12.48,13.23,13.94,15.33,18.50,20.38,21.55,23.47,28.67
Administrative and secretarial occupations,30-39,TRUE,4,11.75,8.45,9.38,9.75,10.06,10.84,12.77,14.06,14.80,15.64,18.75
Administrative occupations,30-39,,41,11.80,8.55,9.48,9.85,10.16,10.93,12.77,14.02,14.76,15.56,18.60
Secretarial and related occupations,30-39,,42,11.49,7.98,8.93,9.33,9.74,10.40,12.75,14.13,15.01,16.24,x
Skilled trades occupations,30-39,TRUE,5,9.76,7.82,8.15,8.32,8.50,9.00,10.57,11.84,12.07,x,x
Skilled agricultural and related trades,30-39,,51,9.29,x,x,x,x,x,x,x,x,x,x
"Skilled metal, electrical and electronic trades",30-39,,52,x,x,x,9.58,9.88,10.97,16.10,x,x,x,x
Skilled construction and building trades,30-39,,53,12.37,x,x,x,x,x,x,x,x,x,x
"Textiles, printing and other skilled trades",30-39,,54,9.00,7.80,8.00,8.14,8.27,8.53,9.66,10.31,10.58,x,x
"Caring, leisure and other service occupations",30-39,TRUE,6,9.53,7.63,8.00,8.20,8.41,8.97,10.07,10.76,11.28,11.78,13.37
Caring personal service occupations,30-39,,61,9.42,7.62,7.98,8.16,8.37,8.89,10.00,10.60,11.07,11.54,13.01
"Leisure, travel and related personal service occupations",30-39,,62,10.16,7.76,8.13,8.47,8.58,9.45,10.70,11.81,12.24,12.72,x
Sales and customer service occupations,30-39,TRUE,7,9.95,7.69,8.14,8.42,8.59,9.29,10.73,12.15,12.84,13.53,16.37
